type;id;username;text;date
comment;17893216889664000;davi1d_santos;Excelente 👏🏼👏🏼👏🏼;25/11/2022 21:38
comment;17970056110947500;ivani.almeidas;AINDA QUE EU FOSSE O PIOR DOS PESSIMISTAS ACHARIA ISSO AQUI MUUUUIIIITTTOOOOO OTIMISTA;25/11/2022 21:43
comment;18263113642129200;camilacoe;👏👏👏 voto!;25/11/2022 23:13
comment;18224535538082400;antoniocolombomelo;Top demais;25/11/2022 23:42
comment;18269159752105100;monicalimachaves;🔥;25/11/2022 23:20
comment;17911594619653200;lllucas_soares;A melhor;25/11/2022 21:51
comment;18237552739150400;celinastudart;Top 👏👏;26/11/2022 00:01
comment;17909689463659000;abreulucass;Parabéns gent! Já ganhou!;26/11/2022 00:03
comment;17996700490568600;rafaelloviana;💫💫💫💫💫;25/11/2022 23:54
comment;17967284107885700;alexandreferreira.oficial;Up;25/11/2022 21:42
comment;17885571086751200;monicalimachaves;Parabéns!;25/11/2022 23:20
comment;18261142045119000;rodrigotlima4;Muito bom!! O melhor;26/11/2022 00:30
comment;17932755260440000;rafaelloviana;👏👏;26/11/2022 00:46
comment;17990008171624000;rafaelloviana;👏👏;26/11/2022 00:46
comment;18168715765254300;niedjamaia;Legal!;25/11/2022 23:15
comment;17914001807567300;livroincena;Na torcida!;25/11/2022 21:46
comment;18242789926180400;marcelldsouz;Show! 👏🏻👏🏻👏🏻;25/11/2022 21:36
comment;18239667844149200;sandrabgad;Parabéns Mac! Muito bom! 👏👏👏;25/11/2022 21:24
comment;17843755415896100;liacalado;Muito massa!;25/11/2022 21:48
comment;18052995145364500;aboutjadermateus;Uma das melhores ideias que vi!!!;25/11/2022 21:31
comment;17936305361380200;dianabenevides80;Meu voto é dele;26/11/2022 00:14
comment;17937455975359300;rodrigotlima4;Melhor idéia de todas!!!;25/11/2022 22:06
comment;17987615734642400;becanayane;👏👏 Top 👏👏;25/11/2022 21:34
comment;18199834243172200;adrianabarbozarodrigues;Show!!!!;25/11/2022 21:43
comment;17946028001379000;victorendel;🤩;26/11/2022 00:35
comment;18238293136149500;carolina_llima_;😍😍😍😍😍;25/11/2022 21:15
comment;18059332540359400;cecidvargas;🔥🔥🔥🔥;25/11/2022 22:25
comment-answer;18329639908047400;roberttodiniz;@cecidvargas 👏;26/11/2022 02:20
comment;17900697125695100;fatimacbastos;Voto @mememoriaoficial 👏🏻👏🏻👏🏻;25/11/2022 23:33
comment;17932728008582600;alinequeiroz___;Parabéns pelo projeto @charlyscfo !;25/11/2022 23:52
comment;17880028163773500;nobre_lucas3;🔥🔥🔥🔥🔥🔥;25/11/2022 23:13
comment;17989981351624900;nandinhamcb;MeMemoria 👏👏👏👏;25/11/2022 23:24
comment;18218134516167400;carolina_llima_;O melhor!;25/11/2022 21:15
comment;17941790999320000;lunnatico;Ideia geniallll;25/11/2022 23:29
comment;17960175110138400;nobre_lucas3;Mememoria a vencedora;25/11/2022 23:10
comment;18328707763006100;rafaelloviana;🔥🔥;26/11/2022 00:46
comment;18234929407153100;lorenzoviiana;👏👏;26/11/2022 00:46
comment;17978763868829200;lorenzoviiana;👏👏;26/11/2022 00:46
comment;17985575878679000;lorenzoviiana;👏👏;26/11/2022 00:47
comment;17849050046861700;bellnunez;@mari5oliveira olha a ideia do que te falei faaz até a saudade doer menos.;26/11/2022 00:47
comment;17983193854691700;rafaelloviana;👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏;26/11/2022 00:47
comment;18069799885329200;nath.bernardo;💜;26/11/2022 01:06
comment;18014438266475400;degnardovanessa_;👏👏;26/11/2022 01:06
comment;18021499477418000;degnardovanessa_;Ótima ideia adore !!;26/11/2022 01:10
comment;17954549282218800;degnardovanessa_;Parabéns ao projeto  perfeito .;26/11/2022 01:11
comment;17977164673803900;degnardovanessa_;Mememoria tiro o chapéu pra essa ideia;26/11/2022 01:11
comment;18331239592042300;degnardovanessa_;Bacana sermos lembrados por gerações..;26/11/2022 01:13
comment;17959759382168100;degnardovanessa_;🙌 Que Deus abençoe esse projeto.;26/11/2022 01:13
comment;17945552144378400;degnardovanessa_;🔥 aternize suas ideias que maravilha!!!!;26/11/2022 01:15
comment;17985432424665500;degnardovanessa_;Projeto show 😄😄;26/11/2022 01:16
comment;17996758966521100;degnardovanessa_;Hoooooo glória  que maravilha de app.;26/11/2022 01:17
comment;17899818698703400;anagomesfulco.adv;Excelência e Inovação. Tem que respeitar !!!;26/11/2022 01:22
comment;17963889545093800;anagomesfulco.adv;Sucesso a todos. Vocês merecem!!!;26/11/2022 01:22
comment;17987943076649800;kelzer.inah;Top @mikaelaferreira1 e @colecionamos__pessoas_memorias 👏👏👏;26/11/2022 01:27
comment;17870100194766700;oliveira__isana;Faz toda a diferença @priolivsil @alquimistaouro;26/11/2022 01:32
comment;17949303062360700;oliveira__isana;Sensacional 👏👏@oliveirailara;26/11/2022 01:32
comment;18060549820347600;pietrov_12;👏;26/11/2022 01:33
comment;17931717680576600;pietrov_12;👏;26/11/2022 01:33
comment;18208575985200500;helder_bragajr;👏👏👏;26/11/2022 01:34
comment;17926180781608400;atorluiscosta;Ideia genial;26/11/2022 01:34
comment-answer;17936030117395300;colecionamos__pessoas_memorias;@atorluiscosta 👏👏;26/11/2022 04:11
comment;17986026373659700;oliveira__isana;👏👏👏;26/11/2022 01:54
comment;18043464430378800;lirdaniia_;❤️👏;26/11/2022 01:56
comment;17987347573648200;lirdaniia_;❤️;26/11/2022 01:56
comment;18191759641238200;lucassousaalvess;👏;26/11/2022 01:58
comment;17957435717278900;lirdaniia_;❤️;26/11/2022 01:59
comment;17955361388210300;lirdaniia_;👏;26/11/2022 02:00
comment;17993802829540300;rapaduravalley;❤️;26/11/2022 02:01
comment;17943445697408700;lirdaniia_;😍;26/11/2022 02:02
comment;18192057667235800;lirdaniia_;❤️;26/11/2022 02:03
comment;17966026577050200;lirdaniia_;👏👏👏;26/11/2022 02:03
comment;17961310703120300;lirdaniia_;❤️;26/11/2022 02:03
comment;17964500170899600;lirdaniia_;❤️;26/11/2022 02:03
comment;17960340965155600;lirdaniia_;❤️;26/11/2022 02:04
comment;17926041509614100;lirdaniia_;👏👏;26/11/2022 02:04
comment;17976112372859000;lirdaniia_;❤️;26/11/2022 02:05
comment;17897877398685300;lirdaniia_;❤️;26/11/2022 02:05
comment;17951785868136500;lirdaniia_;👏👏;26/11/2022 02:05
comment;17942936057306200;lirdaniia_;❤️;26/11/2022 02:05
comment;17986731037656900;lirdaniia_;👏👏;26/11/2022 02:05
comment;17868345362804900;sandrabgad;O melhor!;26/11/2022 02:08
comment;17995395493598300;sandrabgad;😍😍😍😍;26/11/2022 02:08
comment;18302537527079200;sandrabgad;O melhor!;26/11/2022 02:08
comment;18260450707117600;sandrabgad;Mt bom professor!;26/11/2022 02:09
comment;17978107876833300;sandrabgad;Mt bom professor!;26/11/2022 02:09
comment;17980030249675400;goretibrana;😍😍😍;26/11/2022 02:10
comment;17977786507832300;goretibrana;😍😍😍 mt bom!;26/11/2022 02:10
comment;17943220913401400;goretibrana;😍😍😍 mt bom!;26/11/2022 02:10
comment;17855061986854700;goretibrana;O melhor!;26/11/2022 02:10
comment;17940785237325200;goretibrana;😍😍😍😍;26/11/2022 02:11
comment;17968809802971800;goretibrana;😍😍😍😍;26/11/2022 02:11
comment;17948684192365100;goretibrana;😍😍😍;26/11/2022 02:11
comment;17932781582442600;sanbabi_;😍😍😍 mt bom! Incrível!;26/11/2022 02:13
comment-answer;17948393447365000;colecionamos__pessoas_memorias;@sanbabi_ 👏👏;26/11/2022 04:15
comment-answer;17998585999510100;sandrabrana;@colecionamos__pessoas_memorias Que maximoooo! 😍😍😍;26/11/2022 04:16
comment;17853704234857700;sanbabi_;😍😍😍😍;26/11/2022 02:13
comment;18060149716351900;sandrabrana;😍😍😍;26/11/2022 02:15
comment;18024889354437100;sandrabrana;😍😍😍 mt bom! Incrível!;26/11/2022 02:15
comment;18044610052384200;sandrabrana;😍😍😍 mt bom! Incrível!;26/11/2022 02:15
comment;17992141939613800;sandrabgad;Que demais! Incrível 😍😍😍;26/11/2022 02:19
comment;17852743358864300;sandrabgad;Que demais! Incrível 😍😍😍;26/11/2022 02:19
comment;17930341970559100;biellima.09;⚡✨⚡✨⚡;26/11/2022 02:21
comment;17943081578412000;biellima.09;👑👑👑👑;26/11/2022 02:21
comment;17954224400215500;aliciaamaral.brv;😢;26/11/2022 02:40
comment;17959642589157100;gurgelfabio;👏;26/11/2022 03:01
comment;17852994320843400;gurgelfabio;👏;26/11/2022 03:01
comment;17984833756730600;sandrabrana;Que maximoooo! 😍😍😍😍😍😍;26/11/2022 03:21
comment;17930867363554500;lirdaniia_;🔥;26/11/2022 03:22
comment;18220453171165600;sandrabgad;Que maximoooo! 😍😍😍 💚💚💚💚;26/11/2022 03:23
comment;17964767411049300;sandrabgad;Que maximoooo! 😍😍😍💚💚💚💚;26/11/2022 03:23
comment;17958653186171700;josefabioramalhodeo;😍😍;26/11/2022 03:29
comment;17955969923270300;colecionamos__pessoas_memorias;❤️;26/11/2022 03:33
comment;17965282175024200;sandrabgad;Que maximoooo! 😍😍😍☺️☺️☺️;26/11/2022 03:58
comment;17958044789181900;sandrabgad;Que maximoooo! 😍😍😍☺️☺️☺️;26/11/2022 03:58
comment;18194108950209800;colecionamos__pessoas_memorias;😍;26/11/2022 04:13
comment;17964385435935000;colecionamos__pessoas_memorias;❤️;26/11/2022 04:13
comment;17964580757072100;colecionamos__pessoas_memorias;❤️;26/11/2022 04:13
comment;18064958911338000;colecionamos__pessoas_memorias;❤️;26/11/2022 04:13
comment;17976528415848100;colecionamos__pessoas_memorias;😍;26/11/2022 04:15
comment;17968229197962200;sandrabgad;Que demais! Incrível 😍😍;26/11/2022 04:20
comment;17967781033896000;sandrabgad;Que demais! Incrível 😍😍😍😍😍;26/11/2022 04:20
comment;18184747327245600;sandrabrana;Que demais! Incrível 😍😍;26/11/2022 04:44
comment;18016143694474400;sandrabrana;Que demais! Incrível 😍😍😍😍;26/11/2022 04:44
comment;18222013810162500;sandrabgad;Que demais! Incrível 😍😍;26/11/2022 04:52
comment;17959647929018700;sandrabrana;Que incrível professor! 😍😍;26/11/2022 05:29
comment;17934350366409200;sandrabrana;Que incrível professor! 😍😍;26/11/2022 05:29
comment;17931958400578600;sandrabgad;Que incrível professor! 😍😍;26/11/2022 05:30
comment;17903028527686800;sandrabgad;Que incrível professor! 😍😍;26/11/2022 05:30
comment;17974556938758700;sandrabrana;O melhor 👏👏👏;26/11/2022 09:46
comment;18004520374480900;sandrabrana;O melhor 👏👏👏;26/11/2022 09:46
comment;18330164686050600;sandrabgad;O melhor 👏👏👏;26/11/2022 09:55
comment;17968678364071300;sandrabgad;O melhor 👏👏👏;26/11/2022 09:55
comment;18015097804480300;sandrabgad;Topppp 😍;26/11/2022 09:56
comment;17963609327078000;sandrabgad;😍😍😍😍;26/11/2022 09:56
comment;17849101109861800;sandrabgad;😍😍😍😍;26/11/2022 09:56
comment;17943285116307100;sandrabgad;😍😍😍;26/11/2022 09:56
comment;18224900815089200;sandrabgad;😍😍😍;26/11/2022 09:57
comment;17960536483997900;sandrabgad;🤓🤓🤓;26/11/2022 09:58
comment;18077430910316900;sandrabgad;😻😻😻;26/11/2022 09:58
comment;17917740815543100;sandrabgad;🫶🏻🫶🏻🫶🏻🫶🏻;26/11/2022 09:59
comment;17960849335994500;sandrabgad;😻😻😻😻;26/11/2022 09:59
comment;17942869865431800;sandrabgad;👏👏👏;26/11/2022 09:59
comment;17969063782952000;sandrabgad;👏👏👏;26/11/2022 09:59
comment;18001297831543000;sandrabgad;👏👏👏👏;26/11/2022 09:59
comment;17983260370631900;sandrabgad;👏👏👏👏;26/11/2022 09:59
comment;17989086106578900;mikaelaferreira1;👏👏👏👏;26/11/2022 10:06
comment;17866791236782100;sandrabrana;😮😍😮😍;26/11/2022 10:17
comment;17948241167465900;sandrabrana;😮😍😮😍😮😍;26/11/2022 10:17
comment;17894326262654500;sandrabrana;👏👏👏;26/11/2022 10:17
comment;18200285224172100;sandrabrana;Mttt bommmmm;26/11/2022 10:17
comment;17951471177486100;sandrabrana;😍😍😍😍;26/11/2022 10:17
comment;17870374943764900;sandrabrana;Perfeito 😍😍;26/11/2022 10:17
comment;17885612324751500;sandrabrana;Perfeito 😍😍;26/11/2022 10:17
comment;17951406452143500;sandrabrana;😍😍😍😍;26/11/2022 10:18
comment;17963638295103000;sandrabrana;😍😍😍;26/11/2022 10:18
comment;17988073795631500;sandrabrana;😍😍😍;26/11/2022 10:18
comment;17987776864653100;sandrabrana;😍😍😍😍😍;26/11/2022 10:18
comment;18192671941228300;sandrabrana;Que demais 😍😍😍;26/11/2022 10:29
comment;18194480530230300;sandrabrana;Que demais 😍😍😍;26/11/2022 10:29
comment;17976775663803100;oliveira__isana;🔥🔥;26/11/2022 10:55
comment;17932378295539100;bellnunez;Que Deus abençoe vocês;26/11/2022 10:56
comment;17967102851006900;bellnunez;Muito bacana esse modelo de negócio;26/11/2022 10:56
comment;17926195565611600;bellnunez;Isso faz de vcs diferenciados;26/11/2022 10:56
comment;18163559554257800;bellnunez;❤️❤️❤️❤️❤️;26/11/2022 10:56
comment;17877824060728000;bellnunez;Parabéns pessoal;26/11/2022 10:56
comment;17951058806337600;bellnunez;Pra mim vocês já são campeões;26/11/2022 10:57
comment;17868036779807400;bellnunez;Já reinventaram um setor sem perspectiva;26/11/2022 10:57
comment;18331733353018800;bellnunez;❤️❤️❤️❤️;26/11/2022 10:57
comment;17852158832848600;bellnunez;Tem meu voto e meu coração tbm;26/11/2022 10:57
comment;17972291299806400;biellima.09;👏👏👏;26/11/2022 11:52
comment;17953771652335200;biellima.09;👑👑👑👑;26/11/2022 11:52
comment;18263431033109400;biellima.09;👑👑👑👑;26/11/2022 11:52
comment;17997327511562800;avinha.maria;Muito bom!!!;26/11/2022 12:11
comment;17908635221663600;degnardovanessa_;MEMEMORIA 👏👏;26/11/2022 12:14
comment;17853091250844100;degnardovanessa_;👏😍;26/11/2022 12:14
comment;17960063453302100;degnardovanessa_;Ideia genial adorei 🙂;26/11/2022 12:14
comment;17956870127230900;degnardovanessa_;Vai revolucioná o mundo ...👏;26/11/2022 12:15
comment;18264929050128800;degnardovanessa_;Agora a distância da saudade vai encurtar muito com o MEMEMORIA.;26/11/2022 12:15
comment;17930809190595400;degnardovanessa_;@MEMEMORIA as futuras gerações agradece.;26/11/2022 12:16
comment;17877926816731000;ivnafontenele;🏆🏆 🏆;26/11/2022 12:16
comment;17936573972372000;degnardovanessa_;APP SHOW.....;26/11/2022 12:17
comment;17908765850664400;degnardovanessa_;❤️❤️❤️;26/11/2022 12:20
comment;17975721889878100;degnardovanessa_;Genial.....;26/11/2022 12:21
comment;17886740843751900;degnardovanessa_;MINHA FAMÍLIA TODA VAI USAR ESSE APP;26/11/2022 12:22
comment-answer;18329347207058200;degnardovanessa_;@degnardovanessa_ geral vai usar;26/11/2022 12:24
comment;18259192018112800;degnardovanessa_;Top . Top. Top. 😍;26/11/2022 12:23
comment;17993951032594300;degnardovanessa_;Maravilha de ideia ....;26/11/2022 12:23
comment;17912310071651600;degnardovanessa_;Tem meu respeito esse trabalho 🙂;26/11/2022 12:25
comment;17996336842570900;degnardovanessa_;#NOME?;26/11/2022 12:25
comment;17959291232298800;degnardovanessa_;ESSE MERECE O PRÊMIO  IDEIA GENIAL 😍;26/11/2022 12:26
comment;17954523854093300;degnardovanessa_;🔥;26/11/2022 12:29
comment;17965865288051500;degnardovanessa_;🌹🌹🌹;26/11/2022 12:30
comment;17978823394835000;degnardovanessa_;👏👏;26/11/2022 12:30
comment;17957422385057100;degnardovanessa_;🙌🙌;26/11/2022 12:30
comment;17943389057428000;degnardovanessa_;Mememoria ❤️❤️❤️;26/11/2022 12:30
comment;17899480751700700;degnardovanessa_;CUIDA POVOOOO MEMEMORIA CHEGOU PRA FICAR;26/11/2022 12:31
comment;18085110694311900;2adrianoliveira;Voto no @mememoriaoficial;26/11/2022 12:42
comment;17869164494770300;shirleiapontes;Incrível! 👏🏻👏🏻👏🏻;26/11/2022 12:46
comment;17951575244501600;henriquevaldo;Massa!;26/11/2022 12:52
comment;18027319465428800;henriquevaldo;Show!;26/11/2022 12:52
comment;17856612494849400;henriquevaldo;Excelente!;26/11/2022 12:52
comment;17855673068850600;henriquevaldo;✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻;26/11/2022 12:52
comment;17867495879777100;henriquevaldo;👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻;26/11/2022 12:53
comment;18240161218147900;dra_renatacunha;Parabéns!!! 👏👏👏;26/11/2022 13:01
comment;18033163942416800;bebelafontenele;Muito bom;26/11/2022 13:01
comment;18005426770523400;bebelafontenele;👏👏👏👏;26/11/2022 13:01
comment;17931802787573900;_luizaudo;🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥;26/11/2022 13:26
comment;17964133016034800;_luizaudo;👏👏👏👏👏👏👏👏👏;26/11/2022 13:26
comment;17994002395547000;_luizaudo;Melhor app do Brasil;26/11/2022 13:27
comment;17996951956525900;waldovycoelho;Obrigado!;26/11/2022 18:15
comment;17975213572880500;brenoazevedosilva;Muito bom!!;29/11/2022 22:53
comment;18193510885229400;jadyanne;👏👏👏👏👏👏👏;27/11/2022 14:11
comment;17949821513349500;marcelomartinsmd;Parabéns;27/11/2022 11:24
comment;18014167582475200;ebenezercellj;👏👏👏👏;27/11/2022 00:52
comment;17897605649643000;rehellen.oli;👏👏👏;27/11/2022 00:44
comment;17847366374887700;leticiaoliveiiras;👏🏼👏🏼👏🏼👏🏼👏🏼;26/11/2022 23:11
comment;17865606527817400;leticiaoliveiiras;Merece muito!;26/11/2022 23:11
comment;17931441014595700;leticiaoliveiiras;A melhor!;26/11/2022 23:10
comment;17980445740776100;leticiaoliveiiras;Incrível!;26/11/2022 23:10
comment;17952374969501400;leticiaoliveiiras;👏🏼👏🏼👏🏼👏🏼;26/11/2022 23:10
comment;18027575614433600;nenemjeansfortaleza;Incrível!!;26/11/2022 22:41
comment;17979179977705800;nenemjeansfortaleza;Perfeito!!!👏👏👏;26/11/2022 22:41
comment;17968151293983100;jhey_lymah;Projeto muito top parabéns a todos ❤️👏👏;26/11/2022 22:18
comment;17969035519981600;jhey_lymah;Muito massa 😍👏👏;26/11/2022 22:17
comment;17944690808400200;jhey_lymah;👏👏👏 incrível;26/11/2022 22:17
comment;18153334024280500;mariifreitas__;👏🏻👏🏻;26/11/2022 21:55
comment;17998258471514300;pequenaursa;👏🏽👏🏽👏🏽👏🏽👏🏽;26/11/2022 19:43
comment;18260477707119000;andreza_sf11;Muito bom!!! 👏👏👏;26/11/2022 19:40
comment;17953537400250600;andreza_sf11;👏👏👏👏👏;26/11/2022 19:39
comment;17914214114644800;iohanarolim;Parabéns pelo trabalho 👏👏👏;26/11/2022 19:34
comment;17909906654651400;bia_14r;muito bom!;26/11/2022 19:25
comment;17977767583828100;bia_14r;vamos nessa! 👏🏼;26/11/2022 19:24
comment;18166619398251000;elvabessa;Ideia fantástica!!;26/11/2022 19:23
comment;17932999235536800;lpriscila.k;😮;26/11/2022 18:45
comment;18329766259062800;lpriscila.k;😮;26/11/2022 18:45
comment;17967114391890000;lpriscila.k;😮;26/11/2022 18:45
comment;18033227164410700;lpriscila.k;😮;26/11/2022 18:45
comment;17974699849889800;lpriscila.k;😮;26/11/2022 18:45
comment;17931023786571000;lpriscila.k;😮;26/11/2022 18:45
comment;17863351199793900;lpriscila.k;😮;26/11/2022 18:45
